
VAR_9_BeT-1111915182.uml	 strategy
VAR_8_BeT-2768363854.uml	nao aplicado
VAR_1_BeT-5319782487.uml	nao aplicado
VAR_10_BeT-2494614159.uml	nao aplicado
VAR_4_BeT-4948178519.uml	nao aplicado
VAR_12_BeT-3945266811.uml	 strategy
VAR_11_BeT-1614121273.uml	 strategy
VAR_4_BeT-5882185568.uml	 strategy
VAR_4_BeT-1943919129.uml	 strategy
VAR_13_BeT-5335126171.uml	nao aplicado
VAR_4_BeT-8178818337.uml	 strategy
VAR_3_BeT-1152845115.uml	nao aplicado
VAR_9_BeT-7716123569.uml	nao aplicado
VAR_11_BeT-2297838283.uml	nao aplicado
VAR_12_BeT-2211135913.uml	nao aplicado
VAR_1_BeT-7212371491.uml	nao aplicado
VAR_12_BeT-9642247915.uml	nao aplicado
VAR_1_BeT-9978647821.uml	nao aplicado
VAR_2_BeT-8231114596.uml	nao aplicado
VAR_6_BeT-1142116631.uml	nao aplicado
VAR_7_BeT-3514964588.uml	nao aplicado
VAR_10_BeT-3743656659.uml	nao aplicado
VAR_11_BeT-6626786663.uml	nao aplicado
VAR_2_BeT-2155875161.uml	nao aplicado
VAR_10_BeT-6153691699.uml	nao aplicado
VAR_1_BeT-1144111765.uml	nao aplicado
VAR_7_BeT-3141598296.uml	nao aplicado
VAR_6_BeT-3551179112.uml	nao aplicado
VAR_8_BeT-6421117214.uml	nao aplicado
VAR_13_BeT-6147169116.uml	nao aplicado
VAR_12_BeT-3587689487.uml	 strategy
VAR_12_BeT-4213143218.uml	 strategy
VAR_12_BeT-2165782883.uml	nao aplicado
VAR_1_BeT-9932816587.uml	nao aplicado
VAR_4_BeT-6517242655.uml	 strategy
VAR_5_BeT-9192243816.uml	 strategy
VAR_4_BeT-5136176416.uml	 strategy
VAR_8_BeT-2969114132.uml	 strategy
VAR_8_BeT-5183812556.uml	nao aplicado
VAR_2_BeT-7666712317.uml	nao aplicado
VAR_7_BeT-4937115333.uml	nao aplicado
VAR_6_BeT-6871438216.uml	nao aplicado
VAR_8_BeT-2193517171.uml	nao aplicado
VAR_5_BeT-2271624873.uml	nao aplicado
VAR_9_BeT-7317997122.uml	 strategy
VAR_0_BeT-2911722481.uml	 strategy
VAR_2_BeT-3122116581.uml	nao aplicado
VAR_6_BeT-1617911581.uml	nao aplicado
VAR_3_BeT-2132449421.uml	nao aplicado
VAR_9_BeT-3151616814.uml	nao aplicado
VAR_11_BeT-9238298741.uml	nao aplicado
VAR_2_BeT-6922893318.uml	nao aplicado
VAR_12_BeT-2182911825.uml	nao aplicado
VAR_11_BeT-8241578376.uml	 strategy
VAR_0_BeT-7718666243.uml	 strategy
VAR_8_BeT-2192556732.uml	nao aplicado
VAR_4_BeT-7521551416.uml	nao aplicado
VAR_9_BeT-6867193267.uml	nao aplicado
VAR_9_BeT-1475698211.uml	 strategy
VAR_6_BeT-6322392314.uml	nao aplicado
VAR_8_BeT-4628194497.uml	nao aplicado
VAR_13_BeT-4666733642.uml	nao aplicado
VAR_3_BeT-5555876713.uml	nao aplicado
